p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,165.1,80.9,Cordate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,161.2,79.2,Intermediate,Yellow,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,179.8,88.5,Cordate,Yellow,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,164.5,87.3,Ovate,Yellow,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,161.7,79.8,Intermediate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,168.1,76.9,Cordate,White,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,160.5,77.1,Cordate,Yellow,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,164.2,83.7,Cordate,White,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,164.0,87.4,Cordate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,152.4,76.5,Ovate,White,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,168.9,81.4,Intermediate,White,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,164.6,83.6,Intermediate,Intermediate,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,161.5,73.8,Intermediate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,173.0,75.6,Intermediate,Intermediate,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,172.3,79.1,Cordate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,180.3,111.0,Ovate,White,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,178.5,113.4,Ovate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,169.2,101.6,Ovate,White,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,162.3,99.0,Ovate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,145.7,101.3,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,178.0,101.7,Ovate,Yellow,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,170.0,103.0,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,168.8,98.9,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,161.2,103.4,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,186.7,103.4,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,166.3,102.0,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,183.8,102.9,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,153.4,107.2,Ovate,Yellow,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,158.2,98.6,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,167.7,109.0,Ovate,Yellow,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,173.4,108.9,Ovate,White,Temperate,Very High,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,68.1,103.9,Intermediate,White,Tropical,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,80.6,98.0,Linear,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,78.9,99.3,Intermediate,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,79.1,97.6,Intermediate,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,71.3,92.5,Ovate,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,74.1,99.9,Linear,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,67.4,97.9,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,72.6,105.6,Intermediate,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,82.9,96.8,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,78.8,101.2,Intermediate,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,70.1,93.3,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,72.8,103.5,Ovate,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,71.4,97.1,Intermediate,White,Tropical,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,75.3,90.0,Linear,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,76.4,105.8,Ovate,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,71.0,102.6,Intermediate,White,Tropical,Moderate,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,72.6,97.8,Linear,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,70.3,96.8,Intermediate,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,69.9,101.0,Intermediate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,59.7,98.5,Ovate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,68.1,98.1,Linear,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,64.3,100.2,Ovate,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,63.1,98.4,Intermediate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,67.7,96.3,Intermediate,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,71.3,92.7,Linear,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,64.5,93.8,Linear,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,74.3,92.7,Ovate,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,70.9,89.7,Linear,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,71.7,87.5,Linear,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,71.0,99.7,Linear,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,69.0,96.2,Intermediate,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,64.6,99.3,Intermediate,White,Tropical,Very High,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,66.1,85.8,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,69.2,88.6,Ovate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,62.1,91.0,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,62.8,92.3,Linear,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,61.8,85.0,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,67.2,96.2,Intermediate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,57.6,81.0,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,64.2,95.1,Intermediate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,61.8,92.7,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,64.0,85.9,Ovate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,59.9,93.3,Linear,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,55.9,94.1,Intermediate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,64.6,83.2,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,62.3,96.8,Linear,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,62.4,90.8,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,57.0,87.4,Ovate,White,Temperate,Moderate,High
35,100,80,110,0,3,0,0,2,3,1,2,1,3,0,61.0,97.0,Ovate,White,Mediterranean,Very High,High
100,35,110,80,3,0,0,0,3,2,2,1,3,1,0,63.7,97.8,Intermediate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,3,1,2,1,3,0,64.5,89.3,Intermediate,White,Mediterranean,Very High,High
100,35,110,80,3,0,0,0,3,2,2,1,3,1,0,64.6,97.3,Linear,White,Mediterranean,Very High,High
